scientific_name,candidate_taxon_ref_type,candidate_taxon_ref_id,source_taxon_id,number_of_target_taxa_using_candidate,best_source,best_source_rank,targets_unblocked_if_named,current_fr_status,recommended_action,priority_score,common_name_fr,common_name_en,common_name_nl,source,confidence,reviewer,notes
Larus fuscus,referenced_taxon,reftaxon:inaturalist:4381,4381,2,inaturalist_similar_species,1,2,missing_fr,seed_fr_then_human_review,313,,Lesser Black-backed Gull,,manual_override,low,,priority selection for Sprint 13D
Larus cachinnans,referenced_taxon,reftaxon:inaturalist:4389,4389,2,inaturalist_similar_species,3,2,missing_fr,seed_fr_then_human_review,311,,Caspian Gull,,manual_override,low,,priority selection for Sprint 13D
Larus canus,referenced_taxon,reftaxon:inaturalist:4356,4356,2,inaturalist_similar_species,4,2,missing_fr,seed_fr_then_human_review,310,,Common Gull,,manual_override,low,,priority selection for Sprint 13D
Ardea alba,referenced_taxon,reftaxon:inaturalist:144455,144455,2,inaturalist_similar_species,1,1,missing_fr,seed_fr_then_human_review,213,,Great Egret,,manual_override,low,,priority selection for Sprint 13D
Ardea herodias,referenced_taxon,reftaxon:inaturalist:4956,4956,1,inaturalist_similar_species,1,1,missing_fr,seed_fr_then_human_review,172,,Great Blue Heron,,manual_override,low,,priority selection for Sprint 13D
Phoenicurus phoenicurus,referenced_taxon,reftaxon:inaturalist:12992,12992,1,inaturalist_similar_species,1,1,missing_fr,seed_fr_then_human_review,172,,Common Redstart,,manual_override,low,,priority selection for Sprint 13D
Ardea pacifica,referenced_taxon,reftaxon:inaturalist:4966,4966,1,inaturalist_similar_species,3,1,missing_fr,seed_fr_then_human_review,170,,White-necked Heron,,manual_override,low,,priority selection for Sprint 13D
Larus marinus,referenced_taxon,reftaxon:inaturalist:4368,4368,1,inaturalist_similar_species,3,1,missing_fr,seed_fr_then_human_review,170,,Great Black-backed Gull,,manual_override,low,,priority selection for Sprint 13D
Ardea cocoi,referenced_taxon,reftaxon:inaturalist:4952,4952,1,inaturalist_similar_species,4,1,missing_fr,seed_fr_then_human_review,169,,Cocoi Heron,,manual_override,low,,priority selection for Sprint 13D
Ardea melanocephala,referenced_taxon,reftaxon:inaturalist:4972,4972,1,inaturalist_similar_species,5,1,missing_fr,seed_fr_then_human_review,168,,Black-headed Heron,,manual_override,low,,priority selection for Sprint 13D
Larus smithsonianus × glaucescens,referenced_taxon,reftaxon:inaturalist:1587553,1587553,1,inaturalist_similar_species,5,1,missing_fr,seed_fr_then_human_review,168,,Cook Inlet Gull,,manual_override,low,,priority selection for Sprint 13D
Ardea purpurea,referenced_taxon,reftaxon:inaturalist:4951,4951,1,inaturalist_similar_species,6,1,missing_fr,seed_fr_then_human_review,167,,Purple Heron,,manual_override,low,,priority selection for Sprint 13D
Chroicocephalus ridibundus,referenced_taxon,reftaxon:inaturalist:144510,144510,1,inaturalist_similar_species,6,1,missing_fr,seed_fr_then_human_review,167,,Black-headed Gull,,manual_override,low,,priority selection for Sprint 13D
Chroicocephalus cirrocephalus,referenced_taxon,reftaxon:inaturalist:144508,144508,1,inaturalist_similar_species,7,1,missing_fr,seed_fr_then_human_review,166,,Gray-hooded Gull,,manual_override,low,,priority selection for Sprint 13D
Egretta caerulea,referenced_taxon,reftaxon:inaturalist:4937,4937,1,inaturalist_similar_species,7,1,missing_fr,seed_fr_then_human_review,166,,Little Blue Heron,,manual_override,low,,priority selection for Sprint 13D
Stercorarius chilensis,referenced_taxon,reftaxon:inaturalist:144294,144294,1,inaturalist_similar_species,8,1,missing_fr,seed_fr_then_human_review,165,,Chilean Skua,,manual_override,low,,priority selection for Sprint 13D
Grus grus,referenced_taxon,reftaxon:inaturalist:41,41,1,inaturalist_similar_species,9,1,missing_fr,seed_fr_then_human_review,164,,Common Crane,,manual_override,low,,priority selection for Sprint 13D
Grus americana,referenced_taxon,reftaxon:inaturalist:34,34,1,inaturalist_similar_species,10,1,missing_fr,seed_fr_then_human_review,163,,Whooping Crane,,manual_override,low,,priority selection for Sprint 13D
Larus hyperboreus,referenced_taxon,reftaxon:inaturalist:4349,4349,1,inaturalist_similar_species,10,1,missing_fr,seed_fr_then_human_review,163,,Glaucous Gull,,manual_override,low,,priority selection for Sprint 13D
Turdus viscivorus,referenced_taxon,reftaxon:inaturalist:12735,12735,6,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,126,,Mistle Thrush,,manual_override,low,,priority selection for Sprint 13D
Columba livia,referenced_taxon,reftaxon:inaturalist:3017,3017,4,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,95,,Rock Pigeon,,manual_override,low,,priority selection for Sprint 13D
Phylloscopus collybita,referenced_taxon,reftaxon:inaturalist:117016,117016,4,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,95,,Common Chiffchaff,,manual_override,low,,priority selection for Sprint 13D
Corvus corax,referenced_taxon,reftaxon:inaturalist:8010,8010,3,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,79,,Common Raven,,manual_override,low,,priority selection for Sprint 13D
Curruca communis,referenced_taxon,reftaxon:inaturalist:1289470,1289470,3,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,79,,Common Whitethroat,,manual_override,low,,priority selection for Sprint 13D
Sylvia borin,referenced_taxon,reftaxon:inaturalist:15302,15302,3,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,79,,Garden Warbler,,manual_override,low,,priority selection for Sprint 13D
Poecile palustris,referenced_taxon,reftaxon:inaturalist:144809,144809,3,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,78,,Marsh Tit,,manual_override,low,,priority selection for Sprint 13D
Prunella modularis,referenced_taxon,reftaxon:inaturalist:13988,13988,3,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,78,,Dunnock,,manual_override,low,,priority selection for Sprint 13D
Regulus regulus,referenced_taxon,reftaxon:inaturalist:793469,793469,3,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,78,,Goldcrest,,manual_override,low,,priority selection for Sprint 13D
Motacilla cinerea,referenced_taxon,reftaxon:inaturalist:13688,13688,3,inaturalist_similar_species,3,0,missing_fr,seed_fr_then_human_review,77,,Grey Wagtail,,manual_override,low,,priority selection for Sprint 13D
Turdus iliacus,referenced_taxon,reftaxon:inaturalist:12749,12749,3,inaturalist_similar_species,3,0,missing_fr,seed_fr_then_human_review,77,,Redwing,,manual_override,low,,priority selection for Sprint 13D
Nannopterum auritum,referenced_taxon,reftaxon:inaturalist:1454382,1454382,1,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,72,,Double-crested Cormorant,,manual_override,low,,priority selection for Sprint 13D
Ardea ibis,referenced_taxon,reftaxon:inaturalist:411086,411086,1,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,71,,Western Cattle-Egret,,manual_override,low,,priority selection for Sprint 13D
Microcarbo pygmaeus,referenced_taxon,reftaxon:inaturalist:979813,979813,1,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,71,,Pygmy Cormorant,,manual_override,low,,priority selection for Sprint 13D
Ciconia ciconia,referenced_taxon,reftaxon:inaturalist:4733,4733,1,inaturalist_similar_species,3,0,missing_fr,seed_fr_then_human_review,70,,White Stork,,manual_override,low,,priority selection for Sprint 13D
Phalacrocorax sulcirostris,referenced_taxon,reftaxon:inaturalist:4273,4273,1,inaturalist_similar_species,3,0,missing_fr,seed_fr_then_human_review,70,,Little Black Cormorant,,manual_override,low,,priority selection for Sprint 13D
Platalea leucorodia,referenced_taxon,reftaxon:inaturalist:3731,3731,1,inaturalist_similar_species,4,0,missing_fr,seed_fr_then_human_review,69,,Eurasian Spoonbill,,manual_override,low,,priority selection for Sprint 13D
Phalacrocorax fuscescens,referenced_taxon,reftaxon:inaturalist:4311,4311,1,inaturalist_similar_species,5,0,missing_fr,seed_fr_then_human_review,68,,Black-faced Cormorant,,manual_override,low,,priority selection for Sprint 13D
Astur gentilis,referenced_taxon,reftaxon:inaturalist:1579015,1579015,2,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,63,,Eurasian Goshawk,,manual_override,low,,priority selection for Sprint 13D
Spinus spinus,referenced_taxon,reftaxon:inaturalist:145303,145303,2,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,63,,Eurasian Siskin,,manual_override,low,,priority selection for Sprint 13D
Tachybaptus ruficollis,referenced_taxon,reftaxon:inaturalist:4237,4237,2,inaturalist_similar_species,1,0,missing_fr,seed_fr_then_human_review,63,,Little Grebe,,manual_override,low,,priority selection for Sprint 13D
Acrocephalus palustris,referenced_taxon,reftaxon:inaturalist:116802,116802,2,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,62,,Marsh Warbler,,manual_override,low,,priority selection for Sprint 13D
Periparus ater,referenced_taxon,reftaxon:inaturalist:144823,144823,2,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,62,,Coal Tit,,manual_override,low,,priority selection for Sprint 13D
Spatula querquedula,referenced_taxon,reftaxon:inaturalist:558429,558429,2,inaturalist_similar_species,2,0,missing_fr,seed_fr_then_human_review,62,,Garganey,,manual_override,low,,priority selection for Sprint 13D
Colaptes auratus,referenced_taxon,reftaxon:inaturalist:18236,18236,2,inaturalist_similar_species,3,0,missing_fr,seed_fr_then_human_review,61,,Northern Flicker,,manual_override,low,,priority selection for Sprint 13D
